Temps(s),EDWiN + Clustering,EDWiN,Sans D2D
232,22,13,23
233,22,13,23
234,22,13,23
235,23,13,23
236,23,13,23
237,23,13,23
238,23,14,23
239,23,15,23
240,23,15,24
241,23,15,24
242,23,15,24
243,23,15,24
244,23,15,24
245,23,15,24
246,24,15,24
247,24,15,24
248,24,15,24
249,24,15,24
250,24,16,25
251,24,16,25
252,24,16,25
253,24,16,25
254,24,16,25
255,24,16,25
256,25,16,25
257,25,16,25
258,25,16,25
259,25,16,25
260,25,16,26
261,25,16,26
262,25,16,26
263,25,16,26
264,25,16,26
265,25,16,26
266,26,16,26
267,26,17,26
268,26,18,26
269,26,18,26
270,26,18,27
271,26,18,27
272,26,18,27
273,26,18,27
274,26,18,27
275,26,18,27
276,26,18,27
277,27,18,27
278,27,18,27
279,27,18,27
280,27,18,28
281,27,18,28
282,27,18,28
283,27,18,28
284,27,18,28
285,27,18,28
286,27,18,28
287,28,18,28
288,28,18,28
289,28,18,28
290,28,18,29
291,28,18,29
292,28,18,29
293,28,18,29
294,28,18,29
295,28,18,29
296,28,19,29
297,29,19,29
298,29,19,29
299,29,19,29
300,29,19,30
301,29,19,30
302,29,19,30
303,29,19,30
304,29,19,30
305,29,19,30
306,29,19,30
307,30,19,30
308,30,20,30
309,30,20,30
310,30,20,31
311,30,21,31
312,30,21,31
313,30,21,31
314,30,21,31
315,30,21,31
316,30,21,31
317,30,22,31
318,31,23,31
319,31,24,31
320,31,24,32
321,31,24,32
322,31,24,32
323,31,24,32
324,31,24,32
325,31,24,32
326,31,25,32
327,31,25,32
328,32,25,32
329,32,25,32
330,32,25,33
331,32,25,33
332,32,25,33
333,32,25,33
334,32,25,33
335,32,25,33
336,32,25,33
337,32,25,33
338,33,26,33
339,33,26,33
340,33,26,34
341,33,27,34
342,33,27,34
343,33,28,34
344,33,28,34
345,33,28,34
346,33,28,34
347,33,28,34
348,34,28,34
349,34,29,34
350,34,30,35
351,34,31,35
352,34,31,35
353,34,31,35
354,34,31,35
355,34,31,35
356,34,31,35
357,34,31,35
358,34,31,35
359,35,32,35
360,35,33,36
361,35,34,36
362,35,35,36
363,35,35,36
364,35,35,36
365,35,36,36
366,35,36,36
367,35,37,36
368,35,38,36
369,36,39,36
370,36,39,37
371,36,40,37
372,36,41,37
373,36,42,37
374,36,43,37
375,36,44,37
