Time(s),ChunksFromAp,ChunksFromDevices,GoodActive,BadActive,Active
476,95,541,17,16,33
477,95,541,17,16,33
478,95,546,17,16,33
479,95,546,17,16,33
480,95,546,17,16,33
481,96,546,17,16,33
482,96,546,17,16,33
483,96,546,17,16,33
484,96,546,17,16,33
485,96,551,17,16,33
486,97,556,17,16,33
487,97,556,17,16,33
488,97,556,17,16,33
489,97,566,17,16,33
490,97,566,17,16,33
491,98,571,17,16,33
492,98,571,17,16,33
493,98,571,17,16,33
494,98,571,17,16,33
495,98,571,17,16,33
496,99,571,17,16,33
497,99,581,17,16,33
498,99,581,17,16,33
499,99,581,17,16,33
500,99,581,17,16,33
501,100,581,17,16,33
502,100,581,17,16,33
503,100,581,17,16,33
504,100,581,17,16,33
505,100,581,17,16,33
506,101,581,17,16,33
507,101,581,17,16,33
508,101,581,17,16,33
509,101,581,17,16,33
510,101,581,17,16,33
511,102,581,17,16,33
512,102,581,17,16,33
513,102,581,17,16,33
514,102,581,17,16,33
515,102,581,17,16,33
516,103,581,17,16,33
517,103,581,17,16,33
518,103,581,17,16,33
519,103,581,17,16,33
520,103,581,17,16,33
521,104,581,17,16,33
522,104,586,17,16,33
523,104,591,17,16,33
524,104,591,17,16,33
525,104,591,17,16,33
526,105,591,17,16,33
527,105,591,17,16,33
528,105,596,17,16,33
529,105,601,17,16,33
530,105,601,17,16,33
531,106,601,17,16,33
532,106,601,17,16,33
533,106,601,17,16,33
534,106,606,17,16,33
535,106,606,17,16,33
536,107,611,17,16,33
537,107,611,17,16,33
538,107,616,17,16,33
539,107,621,17,16,33
540,107,621,17,16,33
541,108,621,17,16,33
542,108,626,17,16,33
543,108,626,17,16,33
544,108,626,17,16,33
545,108,626,17,16,33
546,109,626,17,16,33
547,109,626,17,16,33
548,109,626,17,16,33
549,109,626,17,16,33
550,109,631,17,16,33
551,110,631,17,16,33
552,110,641,17,16,33
553,110,641,17,16,33
554,110,646,17,16,33
555,110,646,17,16,33
556,111,646,17,16,33
557,111,646,17,16,33
558,111,646,17,16,33
559,111,651,17,16,33
560,111,651,17,16,33
561,112,656,18,15,33
562,112,661,19,14,33
563,112,661,19,14,33
564,112,661,19,14,33
565,112,661,19,14,33
566,113,661,19,14,33
567,113,661,19,14,33
568,113,661,19,14,33
569,113,661,19,14,33
570,113,661,19,14,33
571,114,661,19,14,33
572,114,661,19,14,33
573,114,661,19,14,33
574,114,661,19,14,33
575,114,661,19,14,33
576,115,661,19,14,33
577,115,661,19,14,33
578,115,661,19,14,33
579,115,661,19,14,33
580,115,661,19,14,33
581,116,661,19,14,33
582,116,661,19,14,33
583,116,661,19,14,33
584,116,661,19,14,33
585,116,661,19,14,33
586,117,661,19,14,33
587,117,666,20,13,33
588,117,671,20,13,33
589,117,671,20,13,33
590,117,671,20,13,33
591,118,676,21,12,33
592,118,676,21,12,33
593,118,681,22,11,33
594,118,681,22,11,33
595,118,681,22,11,33
596,119,681,22,11,33
597,119,681,22,11,33
598,119,681,22,11,33
599,119,686,21,10,31
600,119,691,20,9,29
601,120,696,19,8,27
602,120,696,19,8,27
603,120,701,18,7,25
604,120,701,18,7,25
605,120,701,18,7,25
606,121,706,17,6,23
607,121,706,17,6,23
608,121,706,17,6,23
609,121,706,17,6,23
610,121,706,17,6,23
611,122,706,17,6,23
612,122,706,17,6,23
613,122,706,17,6,23
614,122,706,17,6,23
615,122,711,16,5,21
616,123,716,15,4,19
617,123,716,15,4,19
618,123,726,13,2,15
619,123,726,13,2,15
620,123,726,13,2,15
621,124,726,15,2,17
622,124,726,15,2,17
623,124,731,14,1,15
624,124,731,14,1,15
625,124,731,14,1,15
626,125,731,14,1,15
627,125,731,14,1,15
628,125,731,14,1,15
629,125,731,14,1,15
630,125,731,14,1,15
631,126,731,14,1,15
632,126,731,14,1,15
633,126,731,14,1,15
634,126,731,14,1,15
635,126,731,14,1,15
636,127,731,14,1,15
637,127,731,14,1,15
638,127,731,14,1,15
639,127,731,14,1,15
640,127,731,14,1,15
641,128,731,14,1,15
642,128,731,14,1,15
643,128,731,14,1,15
644,128,731,14,1,15
645,128,731,14,1,15
646,129,731,14,1,15
647,129,731,14,1,15
648,129,731,14,1,15
649,129,731,14,1,15
650,129,731,14,1,15
651,130,731,14,1,15
652,130,736,13,0,13
653,130,736,13,0,13
654,130,736,13,0,13
655,130,736,13,0,13
656,131,736,13,0,13
657,131,736,13,0,13
658,131,736,13,0,13
659,131,736,13,0,13
660,131,736,13,0,13
661,132,736,13,0,13
662,132,736,13,0,13
663,132,736,13,0,13
664,132,736,13,0,13
665,132,736,13,0,13
666,133,736,13,0,13
667,133,736,13,0,13
668,133,736,13,0,13
669,133,736,13,0,13
670,133,736,13,0,13
671,134,736,15,0,15
672,134,736,15,0,15
673,134,736,15,0,15
674,134,736,15,0,15
675,134,736,15,0,15
676,135,736,15,0,15
677,135,736,15,0,15
678,135,736,15,0,15
679,135,736,15,0,15
680,135,736,15,0,15
681,136,736,15,0,15
682,136,736,15,0,15
683,136,736,15,0,15
684,136,736,15,0,15
685,136,736,15,0,15
686,137,736,15,0,15
687,137,736,15,0,15
688,137,736,15,0,15
689,137,736,15,0,15
690,137,736,15,0,15
691,138,736,15,0,15
692,138,736,15,0,15
693,138,736,15,0,15
694,138,736,15,0,15
695,138,736,15,0,15
696,139,736,15,0,15
697,139,736,15,0,15
698,139,736,15,0,15
699,139,736,15,0,15
700,139,736,15,0,15
701,140,736,15,0,15
702,140,736,15,0,15
703,140,736,15,0,15
